imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,82.11211559999902,82.66234099999929,33,imgs/4_stim.png,0.1131187539415006,0.544224943510976,0.48560523067351374,83.12923430000046,83.16255069999897,83.27928919999977,83.31265530000019,e,1.3098095000004832,82.29549790000056,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,83.64614599999913,84.61318609999944,34,imgs/1_stim.png,0.11432783928195259,0.9635908754146265,0.05625293136635401,84.64657160000024,84.6798562999993,84.79663710000023,84.82994030000009,a,1.2838092999991204,83.8294891000005,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,85.14671970000018,85.84708879999926,35,imgs/2_stim.png,0.11422796116900566,0.6981950670416027,0.38449643335193184,86.21395999999913,86.24720870000056,86.34723080000003,86.38058479999927,q,1.198270599999887,85.33017429999927,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,86.56401539999933,87.14760149999893,36,imgs/2_stim.png,0.031927884756467274,0.5683752438647869,0.41009206222737055,87.53115749999961,87.56446999999935,87.59781119999934,87.63115479999942,q,1.1130257999993773,86.74742300000071,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,87.89795620000041,88.83167499999945,37,imgs/3_stim.png,0.04778564699865167,0.9325414104202576,0.2188617615677821,89.03180690000045,89.06510669999989,89.11511930000052,89.14842719999979,d,1.3640824999984034,88.08136939999895,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,89.48195329999908,90.13224830000036,38,imgs/2_stim.png,0.028758565196524928,0.6509834050350934,0.2799240533601337,90.39896989999943,90.43230720000065,90.44898990000002,90.48233479999908,q,1.0590812000009464,89.66537459999927,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,90.76583389999905,91.63287719999971,39,imgs/2_stim.png,0.02045815137399122,0.8648007438015068,0.166161154511349,91.78288509999948,91.81622779999998,91.8329462999991,91.86627299999964,q,1.154286899998624,90.9492420000006,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,92.1497120999993,92.8167013000002,40,imgs/4_stim.png,0.11932601626258416,0.6647648380656105,0.032039456254636334,92.8333717000005,92.86669930000062,92.98342719999891,93.01678010000069,e,0.91624530000081,92.3331376999995,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,93.28357209999922,93.81712990000051,41,imgs/2_stim.png,0.026607718840497112,0.5260448990628662,0.08838305353665815,93.88383839999915,93.9171525999991,93.93383429999994,93.96719800000028,q,0.9925190999983897,93.4669840000006,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,94.5007057999992,95.46783279999909,42,imgs/3_stim.png,0.04433124609288922,0.9552819782161872,0.07198179520089981,95.50119040000027,95.53455159999976,95.58455409999988,95.61791169999924,d,1.2504276999989088,94.68415210000057,None,,,stephen_7,001,2023_Apr_30_2213,meta-mask2,2021.2.3,59.95441066622542,
