imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,55.22526470000048,56.00888280000072,25,imgs/3_stim.png,0.07660536397055324,0.7708971118926492,0.29682709340752783,56.2756859000001,56.30902370000058,56.375720700000784,56.40902290000031,d,1.458719299999757,55.408626899999945,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,56.90931720000026,57.642955500000426,26,imgs/2_stim.png,0.058938892240626,0.7344040703903094,0.40062889935101104,58.02638470000056,58.05977849999999,58.10986700000012,58.143176100000346,q,1.3306156999997256,57.09264860000076,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,58.45999819999997,59.21031690000018,27,imgs/3_stim.png,0.059113002561867155,0.7394139527758126,0.40813124652343497,59.59376590000011,59.62709190000078,59.677156800000375,59.71043920000011,q,1.6507247999998071,58.64332110000032,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,60.32740869999998,61.27779450000071,28,imgs/4_stim.png,0.022950147838334732,0.9487805668704741,0.4334444479602555,61.6947351000008,61.728009000000384,61.728009000000384,61.76135950000025,e,1.9984661999997115,60.51078730000063,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,62.54498660000081,63.39539550000063,29,imgs/4_stim.png,0.04866534072159244,0.845742039158828,0.16559941868272587,63.54545180000059,63.57877140000073,63.612190400000145,63.64549740000075,q,1.2870887999997649,62.7284380000001,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,64.0623411000006,64.89600070000051,30,imgs/4_stim.png,0.06415364546358145,0.8262317877845429,0.4533195582458865,65.32954990000053,65.36290310000004,65.4129498000002,65.44626270000026,e,1.6435414999996283,64.2457385000007,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,65.92978810000022,66.49669210000047,31,imgs/2_stim.png,0.09738911002822416,0.5617721744222377,0.07196864772137679,66.54670840000017,66.58003989999997,66.66348040000048,66.69688300000053,q,0.9460708999995404,66.11331420000079,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,67.09696920000079,67.61390440000014,32,imgs/4_stim.png,0.010316968047656078,0.505428299610174,0.30809728420389704,67.89730130000044,67.93065410000054,67.91402500000004,67.94731200000024,q,1.214984799999911,67.28035930000078,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,68.53090190000057,69.14782439999999,33,imgs/4_stim.png,0.051162240221745106,0.6039016737645801,0.13809939581629577,69.24789860000055,69.28124800000023,69.33124870000029,69.36462610000035,q,1.653030200000103,68.71433440000055,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,70.41507770000044,71.04868590000024,34,imgs/3_stim.png,0.01837246149393601,0.6269747564814162,0.03997090204508197,71.06536200000028,71.0987126,71.0987126,71.132157,d,1.1527697000001353,70.59843920000003,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,71.79902680000032,72.5493232000008,35,imgs/4_stim.png,0.09100839694072696,0.7453464089106654,0.3016664194032054,72.83280670000022,72.86615180000081,72.93282679999993,72.96622180000031,q,1.639649400000053,71.98245560000032,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,73.66650060000029,74.2167556000004,36,imgs/2_stim.png,0.07080161674431075,0.5401562085635507,0.3834656454333042,74.56681480000043,74.60023860000001,74.66693470000064,74.70032160000028,q,1.476511599999867,73.8499184000002,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
